file,ground_truth,predicted,total_score,solidity,contour_area
concerning_01.jpg,concerning,critical,3,0.1042,3532.0
concerning_02.jpg,concerning,critical,5,0.1232,4970.0
concerning_03.jpg,concerning,critical,3,0.836,33695.5
concerning_04.jpg,concerning,critical,5,0.1177,4616.5
concerning_05.jpg,concerning,critical,3,0.8737,35427.5
concerning_06.jpg,concerning,healthy,1,0.881,34809.0
concerning_07.jpg,concerning,healthy,1,0.8747,34976.5
concerning_08.jpg,concerning,critical,5,0.1267,4895.0
concerning_09.jpg,concerning,critical,3,0.8344,32879.5
concerning_10.jpg,concerning,healthy,1,0.8281,33580.5
concerning_11.jpg,concerning,concerning,2,0.8197,32195.5
concerning_12.jpg,concerning,critical,5,0.121,4950.5
concerning_13.jpg,concerning,critical,3,0.832,32756.5
concerning_14.jpg,concerning,healthy,1,0.8911,32463.5
concerning_15.jpg,concerning,critical,5,0.1162,4624.5
critical_01.jpg,critical,critical,4,0.9201,71126.5
critical_02.jpg,critical,concerning,2,0.8398,69797.5
critical_03.jpg,critical,concerning,2,0.8525,72587.5
critical_04.jpg,critical,critical,3,0.8507,62457.0
critical_05.jpg,critical,concerning,2,0.8294,69147.0
critical_06.jpg,critical,concerning,2,0.8844,65905.0
critical_07.jpg,critical,concerning,2,0.8965,74030.5
critical_08.jpg,critical,concerning,2,0.8603,72143.0
critical_09.jpg,critical,concerning,2,0.8789,67147.0
critical_10.jpg,critical,concerning,2,0.8847,65154.0
critical_11.jpg,critical,concerning,2,0.8961,70902.5
critical_12.jpg,critical,concerning,2,0.8746,67378.0
critical_13.jpg,critical,concerning,2,0.8619,64674.5
critical_14.jpg,critical,concerning,2,0.875,69209.0
critical_15.jpg,critical,concerning,2,0.8462,70062.5
healthy_01.jpg,healthy,critical,4,0.1665,804.5
healthy_02.jpg,healthy,concerning,2,0.17,819.5
healthy_03.jpg,healthy,concerning,2,0.165,838.0
healthy_04.jpg,healthy,critical,4,0.1266,1056.0
healthy_05.jpg,healthy,critical,3,0.1678,811.0
healthy_06.jpg,healthy,concerning,2,0.1682,813.0
healthy_07.jpg,healthy,concerning,2,0.1657,812.5
healthy_08.jpg,healthy,concerning,2,0.1742,842.0
healthy_09.jpg,healthy,concerning,2,0.1668,806.0
healthy_10.jpg,healthy,concerning,2,0.169,817.0
healthy_11.jpg,healthy,concerning,2,0.1703,823.0
healthy_12.jpg,healthy,concerning,2,0.1665,802.5
healthy_13.jpg,healthy,concerning,2,0.1678,811.0
healthy_14.jpg,healthy,concerning,2,0.1673,808.5
healthy_15.jpg,healthy,concerning,2,0.1678,811.0
